title,artist,first line,filename,Reference,Indices
Prayer for Youth,"Taghvai, Jena",O Lord!  Make this youth radiant,Prayer for Youth.pdf,,Holy Words:Children's Songs
Prefer Your Brother ,"Rinaldi,Wiley","I am thirsty, I am thirsty",Prefer your Brother.pdf,9,Children's Songs
Queen of Carmel,"Foust, Jeanne (Murday)","Standing on the mountain, looking across the bay",Queen of Carmel.pdf,,
Refresh and Gladden My Spirit,"Losey, Elaine",O God!  Refresh and gladden my spirit,Refresh and Gladden My Spirit.pdf,,Holy Words
Remover of Difficulties,"Price, Tom",Is there any remover of difficulties,Remover of Difficulties Price.pdf,,Holy Words:Children's Songs:Rounds & Echo Songs
Remover of Difficulties (in Arabic),"Safajou, Linda",Halmen Mofarajen Ghayerollah,Remover of Difficulties Halmen.pdf,,Holy Words:Non-English Lyrics
Remover of Difficulties (in Eng & Arabic),"Toppano, Ren",Is there any remover of difficulties,Remover of Difficulties Toppano.pdf,,Holy Words:Non-English Lyrics
Rose Garden Prayer,"Urbanya, Tim",O Thou compassionate God!  Bestow upon me,Rose Garden Prayer.pdf,,Holy Words:Children's Songs
Royal Falcon,Parrish/Toppano,I am the Son of Wisdom and the Ocean of Knowledge,Royal Falcon.pdf,,Holy Words
Say God Sufficeth,"Price, Tom","Say: God sufficeth all things above all things,",Say God Sufficeth Price.pdf,,Holy Words:Children's Songs:Rounds & Echo Songs
Say God Sufficeth,Maui Baha'is,"Say: God sufficeth all things above all things,",Say God Sufficeth Maui.pdf,,Holy Words:Children's Songs
See Me Beautiful,"Grammer, Red",See me beautiful. Look for the best in me.,See Me Beautiful.pdf,,Children's Songs
Seven Martyrs of Tehran,"Hindin Miller, Grant",Seven Lanterns in the sun.,Seven Martyrs of Tehran.pdf,,
"Shine Your Light on Me, Baha'u'llah",Unknown,"Shine your light on me, Baha'u'llah.",Shine Your Light on Me.pdf,,Children's Songs
Sign of Love,"Hosack, Leona",O Son of Man! For everything there is a sign.,Sign of Love.pdf,,Holy Words:Children's Songs
Sing a Song of Feasts,"McClellan, Mimi","Baha, Jalal, Jamal, 'Azamat, Nur, Rahmat",Sing a Song of Feasts.pdf,,Holy Words:Rounds & Echo Songs
Singing Wind,"Day, Phyllis","The wind is singing in the mountains,",Singing Wind.pdf,,Children's Songs
Siyahumb'e (African),Unknown,Siya humb'e kukahnyen kwenkhos.,Siyahamb'e.pdf,,Non-English Lyrics
Soon Will All That Dwell On Earth,"Gilmer, Van",Soon will all that dwell on earth be enlisted under,Soon Will all that Dwell on Earth.pdf,,Holy Words:Rounds & Echo Songs
Soy Baha'i,Unknown,Soy Baha'i a mi me gusta,Soy Baha'i.pdf,,Non-English Lyrics
Strive,"Crone, Joe",Strive that your actions day by day,Strive.pdf,,Holy Words:Children's Songs
Tahirih,"Davis, Mary","Tahirih the Pure One, Consolation of the Eyes",Tahirih.pdf,,
Teach Us of Thy Unity,Unknown,O Thou Who art our life and light,Teach Us of Thy Unity.pdf,,
"Teach, Teach, Teach ",Unknown,"Teach, teach, teach the Faith every single day",Teach Teach Teach.pdf,,Children's Songs:Rounds & Echo Songs
Teaching Peace,"Grammer, Red","Teaching peace, all the world around",Teaching Peace.pdf,,Children's Songs
Tell the Truth,Rinaldi/Vanegas,"When you tell the truth, you win people's trust",Tell the Truth.pdf,6,Children's Songs
That is How Baha'is Should Be,"Losey, Kai","I love the Master, the Master loves me",That is How Baha'is Should Be.pdf,15,Children's Songs
Thine Eye is My Trust,"Shaw, Gregory",Thine eye is my trust,Thine Eye is My Trust.pdf,,Holy Words
Thoko Zani,"Dlamini, Ben",Thoko zani nina mhlaba wonke,Thoko Zani.pdf,,Children's Songs:Non-English Lyrics
Three Wives of Abraham,Unknown,"From the three wives of Abraham, the prophets came",Three Wives of Abraham.pdf,,
Unity Prayer,"Bullion, Jack",O my God!  O my God! Unite the hearts of Thy servants,Unity Prayer.pdf,,Holy Words
We Are Baha'i Children,Unknown,We are Baha'i children.,We Are Baha'i Children.pdf,,Children's Songs
We Are One in the Spirit,Unknown,We are one in the spirit,We Are One in the Spirit.pdf,,Children's Songs
We Are The People of Baha ,"Taylor, Donna",We are the people of Baha,We Are the People of Baha.pdf,7,Children's Songs:Non-English Lyrics
We Have Come to Sing Praises,"Gilmer, Van",We have come to sing praises to our Lord,We Have Come to Sing Praises.pdf,,
We Shall Not Fail,Unknown,We shall not fail. We shall not fail.,We Shall Not Fail.pdf,,Holy Words:Rounds & Echo Songs
What Mankind Has to Learn,"Haley, Creadell","There is only one God throughout the universe,",What Mankind Has to Learn.pdf,,
When the Victory Arriveth,Southeast Baha'i Youth,"When the victory arriveth, every man",When the Victory Arriveth.pdf,,Holy Words
Whoso Ariseth,"McGee, Margaret Embers",Whoso ariseth among you to teach,Whoso Ariseth.pdf,,Holy Words
Whoso Seeketh Me,"Gregory, David","Whoso seeketh Me, shall find Me",Whoso Seeketh Me.pdf,,Holy Words
Will You Give Your Life,"Lincoln, Joan",Will you give your life to Baha'u'llah?,Will You Give Your Heart.pdf,,Children's Songs
With Two Wings,"Grammer, Red","With two wings, we can soar through the air.",With Two Wings.pdf,,Children's Songs
Wonderful,"Taylor, Brice","Flowers of one garden, leaves of one tree",Wonderful.pdf,,Children's Songs
"World, World, World",Unknown,"World, world, world, world, why do you reject your Lord?",World World World.pdf,,Rounds & Echo Songs
Ya Baha'u'l-Abha,Dunbar/Kinney,"Ya Baha'u'l-Abha, Ya Ali'u'l-Allah",Ya Baha'u'l-Abha Ya Ali u'l-Abha.pdf,,Holy Words:Non-English Lyrics
Ye Are the Stars in the Heaven,Unknown,Ye are the stars in the heaven of understanding,Ye Are the Stars.pdf,,Holy Words
You Must Become Distinguished,"Hosack, Leona",You must become distinguished for loving humanity,You Must Become Distinguished.pdf,,Holy Words:Rounds & Echo Songs
